Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2019-08-10;0;32,9;23,8;15,5;
2019-08-11;0;33,4;24;17;
2019-08-12;0;34,4;25,7;18,4;
2019-08-13;0;34,2;25,5;17,9;
2019-08-14;0;27,1;19,4;15,1;
2019-08-15;0;27,7;18,6;12;
2019-08-16;0;28,6;21,2;13,4;
2019-08-17;0;31,3;22,6;14,9;
2019-08-18;0;33,7;24,4;16,9;
2019-08-19;0;26,7;21,9;19,6;
2019-08-20;0;28,5;20,9;15,6;
2019-08-21;0;29,5;21,2;14,3;
2019-08-22;0;28,2;20;13;
2019-08-23;,8;28;19,3;13;
2019-08-24;0;27,7;19,9;13,1;
2019-08-25;0;29,7;20,4;12,9;
2019-08-26;0;32,3;22,4;13,8;
2019-08-27;0;31,7;23,6;16,9;
2019-08-28;0;31,6;24;17;
2019-08-29;0;30,4;23,3;17,3;
2019-08-30;0;34,2;25,7;18,4;
2019-08-31;0;37,1;26,8;19;
2019-09-01;8,2;27,4;21;18,2;
2019-09-02;8,4;28,5;21,7;17,1;
